Sure! Here's an extended dataset in CSV format with approximately 150 questions and answers related to new moms and baby care:

```csv
Question,Answer
"Hi","How Can I help you?"
"What are signs of postpartum depression?","Symptoms include sadness, anxiety, loss of interest in activities, and difficulty bonding with the baby. Seek professional help if needed."
"What food should I eat after delivery?","Focus on high-protein foods, healthy fats, and hydration. Include leafy greens, nuts, and dairy for recovery."
"When should I start solid food for my baby?","Start solid food at around 6 months, beginning with soft, mashed foods like bananas or rice cereal."
"How can I increase breast milk supply?","Stay hydrated, eat a balanced diet, nurse frequently, and try lactation-boosting foods like oats and fenugreek."
"How much sleep does a newborn need?","Newborns sleep about 14-17 hours a day, waking every 2-4 hours for feeding."
"What are common breastfeeding challenges?","Issues include sore nipples, low milk supply, and latch problems. Consulting a lactation specialist can help."
"Is it normal for a baby to spit up?","Yes, spitting up is normal and usually not a concern unless excessive or causing discomfort."
"What exercises are safe after childbirth?","Start with gentle walks and pelvic floor exercises. Avoid high-impact workouts until cleared by a doctor."
"How do I soothe a colicky baby?","Try swaddling, white noise, rocking, or gentle tummy massages to comfort a colicky baby."
"When should I introduce a sippy cup?","Around 6-9 months, offer a sippy cup with water to help transition from a bottle."
"How can I manage sleep deprivation as a new mom?","Take naps when possible, ask for help, and follow a sleep routine for your baby."
"Why is my baby crying so much?","Crying can be due to hunger, discomfort, tiredness, gas, or needing comfort."
"How do I know if my baby is getting enough breast milk?","Signs include regular wet diapers, weight gain, and contentment after feeding."
"What vaccinations does my baby need?","Follow the pediatrician's immunization schedule, starting with Hepatitis B at birth."
"Can I drink coffee while breastfeeding?","Yes, but limit caffeine intake to avoid affecting the baby’s sleep."
"When will my baby start teething?","Most babies start teething around 4-7 months, with symptoms like drooling and gum discomfort."
"What are good first foods for my baby?","Start with soft, single-ingredient foods like mashed bananas, avocado, or sweet potatoes."
"How do I prevent diaper rash?","Change diapers frequently, keep the area dry, and use a gentle diaper cream if needed."
"What are signs my baby is ready for solid food?","Signs include sitting up with support, showing interest in food, and losing the tongue-thrust reflex."
"How often should I bathe my newborn?","2-3 times a week is enough; daily baths can dry out their skin."
"Why does my baby wake up at night?","Night waking is normal due to hunger, discomfort, or needing reassurance."
"When should I start tummy time?","Start tummy time from day one, a few minutes at a time, increasing gradually."
"Can I swaddle my baby?","Yes, swaddling helps newborns feel secure, but stop once they start rolling over."
"What should I do if my baby has a fever?","If under 3 months, contact a doctor immediately. For older babies, monitor temperature and keep them hydrated."
"Is pacifier use safe?","Yes, pacifiers can soothe babies, but wean them off by age 2 to prevent dental issues."
"How do I introduce new foods to my baby?","Introduce one food at a time, waiting 3-5 days to check for allergies."
"When should my baby start crawling?","Most babies crawl between 6-10 months, but some skip crawling and go straight to walking."
"What are the benefits of skin-to-skin contact?","It helps bonding, regulates the baby’s temperature, and supports breastfeeding."
"How can I relieve my baby’s gas?","Try burping after feeds, gentle tummy massages, and bicycle leg movements."
"Can I exercise while breastfeeding?","Yes, moderate exercise is safe and does not affect milk supply."
"When should my baby start talking?","Babies say their first words around 12 months, but babbling starts earlier."
"How do I transition my baby to their own crib?","Start with naps in the crib, use a consistent bedtime routine, and gradually increase crib time."
"What are signs my baby is teething?","Drooling, irritability, gum swelling, and chewing on objects are common teething signs."
